	random_trimmed_F1_S1_R1_001.fastq	random_trimmed_F2_S2_R1_001.fastq	random_trimmed_F3_S3_R1_001.fastq	random_trimmed_F4_S4_R1_001.fastq	random_trimmed_M1_S5_R1_001.fastq	random_trimmed_M2_S6_R1_001.fastq	random_trimmed_M4_S7_R1_001.fastq
hsa-miR-7978	0	1.06296132521514	0.838535420742415	0.527280188021085	0	0.947312878602802	1.22448179930254
hsa-miR-6516-5p	0	1.06296132521514	0.670828336593932	0.820213625810576	1.11369172608043	0.631541919068535	2.08882189292785
hsa-miR-2113	0	1.06296132521514	0	0	0	0	0.504198387948103
hsa-miR-4716-3p	0	1.06296132521514	0	0	0.35435645829832	0.315770959534267	0.144056682270886
hsa-miR-1224-5p	0	1.06296132521514	1.17394958903938	2.28488081475803	0.708712916596639	1.8946257572056	1.65665184611519
hsa-miR-3689a-5p|hsa-miR-3689b-5p|hsa-miR-3689e	0	1.06296132521514	0.111804722765655	0	0	0.947312878602802	0
hsa-miR-1273c	0	1.06296132521514	0.447218891062621	0.410106812905288	0.151867053556423	0.526284932557112	1.00839677589621
hsa-miR-7151-3p	0	1.06296132521514	0.447218891062621	0.292933437789491	0.860579970153062	1.47359781115991	1.08042511703165
hsa-miR-100-3p	0	1.06296132521514	0.559023613828276	0.0585866875578983	0.404978809483794	1.36834082464849	0
hsa-miR-216a-5p	0	0.708640883476762	0.0559023613828276	0.35152012534739	0.253111755927371	0	0
hsa-miR-490-3p	0	0.708640883476762	0	0	0	0	0
hsa-miR-6871-3p	0	0.708640883476762	0.167707084148483	0.117173375115797	0	0	0
hsa-miR-1275	0	0.708640883476762	0	0.468693500463186	0	0.210513973022845	0.21608502340633
hsa-miR-6823-5p	0	0.708640883476762	0	0	0	0	0
hsa-miR-4695-3p	0	0.708640883476762	0	0	0	0	0
hsa-miR-3174	0	0.708640883476762	0.279511806914138	0.0585866875578983	0.35435645829832	0.631541919068535	3.09721866882406
hsa-miR-6875-5p	0	0.708640883476762	0	0.820213625810576	0.151867053556423	0.210513973022845	0.432170046812659
hsa-miR-1911-5p	0	0.708640883476762	0.447218891062621	0.878800313368474	0.0506223511854742	0	0
hsa-miR-4477b	0	0.708640883476762	0.0559023613828276	0.35152012534739	0	0	0
hsa-miR-1323	0	0.708640883476762	0	0.527280188021085	0	1.99988274371703	0.576226729083546
hsa-miR-6895-5p	0	0.708640883476762	0	0	0	0	0
hsa-miR-323b-5p	0	0.708640883476762	0.223609445531311	1.58184056406325	0.35435645829832	0.526284932557112	1.94476521065697
hsa-miR-6513-5p	0	0.708640883476762	0	0	0.0506223511854742	0.315770959534267	0
hsa-miR-556-3p	0	0.708640883476762	0.726730697976759	0.292933437789491	0.253111755927371	0	1.58462350497975
hsa-miR-3907	0	0.708640883476762	0	0.117173375115797	0	0	0.432170046812659
hsa-miR-6882-5p	0	0.708640883476762	0.670828336593932	1.93336068941064	0.404978809483794	1.26308383813707	0.720283411354432
hsa-miR-517a-3p|hsa-miR-517b-3p	0	0.708640883476762	0.111804722765655	0.878800313368474	0.607468214225691	0.315770959534267	0.504198387948103
hsa-miR-371a-5p	0	0.708640883476762	0.111804722765655	0	0.151867053556423	0.42102794604569	0
