	random_trimmed_F1_S1_R1_001.fastq	random_trimmed_F2_S2_R1_001.fastq	random_trimmed_F3_S3_R1_001.fastq	random_trimmed_F4_S4_R1_001.fastq	random_trimmed_M1_S5_R1_001.fastq	random_trimmed_M2_S6_R1_001.fastq	random_trimmed_M4_S7_R1_001.fastq
hsa-miR-452-5p	691	73	270	793	600	87	270
hsa-miR-324-3p	638	99	489	593	793	352	577
hsa-miR-664a-5p	636	133	537	940	734	594	1108
hsa-miR-193b-3p	632	12	77	120	263	45	126
hsa-miR-107	630.5	206.5	1046	1244	1010.5	727	1601.5
hsa-miR-501-3p	624	173	507.5	1509.5	1036.5	218.5	1397.5
hsa-miR-1271-5p	618	38	521	563	935	322	406
hsa-miR-34a-5p	616	365	1437	2794	1259	834	1289
hsa-miR-629-5p	602	111	429	533	456	205	640
hsa-miR-1180-3p	602	70	211	534	437	296	517
hsa-miR-206	601	49	384	1364	2675	856	178
hsa-miR-329-3p	587	653	1868	4935	2811	2594	5063
hsa-miR-744-5p	568	145	695	1346	962	532	1273
hsa-miR-146b-3p	565	35	171	411	315	71	124
hsa-miR-2110	563	66	251	751	605	269	718
hsa-miR-543	540	319	762	1854	871	860	1967
hsa-miR-10b-3p	536	255	690	1494	1043	351	917
hsa-miR-331-3p	534	72	349	570	344	160	453
hsa-miR-454-3p	524	143	630	919	845	521	927
hsa-miR-24-1-5p	519	434	1587	1670	2290	1362	2028
hsa-miR-22-5p	512	138	537	997	861	569	790
hsa-miR-494-3p	512	192	526	1128	1040	650	1279
hsa-miR-495-3p	490	261	804	1433	1329	1029	1923
hsa-miR-30c-2-3p	489	215	572	1015	1191	786	1967
hsa-miR-144-3p	474	1	4	12	333	21	16
hsa-miR-483-5p	469	121	118	654	440	176	575
hsa-miR-382-3p	458	342	1033	1776	1319	1140	2526
hsa-miR-130b-5p	454	168	395	871	740	500	943
hsa-miR-125a-3p	440	91	265	503	539	296	544
