	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76
trimmed_19101-0035_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1256568	1078024	1550125	4111098	8954532	4444912	3217500	555695	414971	424706	418959	513531	570461	1728510	2233833	1096504	666365	567801	254250	213602	123912	99999	67320	62916	44704	52983	99313	279795	37568	15360	9634	10457	12299	11453	10638	7340	8237	7055	7702	9846	18594	22108	70303	290923	255748	205814	74658	125154	95376	352114	422473	231186	37367	166547	152276	136222	49096	109646	421414
trimmed_19101-0036_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443490	418998	603769	1350426	2886996	1455807	983032	194242	148364	146279	148826	169369	211488	596503	866459	387946	235518	189899	97209	79517	51385	45117	27495	26339	19522	28864	54823	114644	15394	6130	3998	4046	4417	3904	3523	2448	2653	2092	2305	2881	4583	6453	17286	74831	68296	57720	17964	32111	24768	88135	97532	57298	10287	44477	39205	32451	12250	27982	140824
trimmed_19101-0037_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838904	786284	578428	856994	1731783	1141066	482480	232963	190073	219587	406901	253703	155585	177632	171644	179211	177440	100473	116569	111184	60573	55400	34838	30684	34021	57461	82765	137009	17714	10180	7550	7310	7896	8265	9374	5308	5259	4452	5345	5345	7571	8384	18501	89425	81684	48550	20438	45238	36027	132292	107013	92807	11428	43083	37294	28314	7227	34738	182334
trimmed_19101-0038_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	928167	1009331	526889	784726	2137346	945094	496556	246633	189971	232238	446038	251248	152762	165092	162723	191758	207036	100149	119736	115555	57338	46182	28624	23744	25509	31796	45492	134765	14089	7731	5822	5791	6690	7006	7614	4730	4310	4109	4585	4986	7760	7997	18700	96154	80587	40757	18047	39072	31527	129873	111349	98452	10045	39148	34840	24293	6799	29311	142875
trimmed_19101-0039_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1133184	1151882	692656	1094250	2501577	1347178	626728	283202	220070	260588	498752	282413	173309	198927	202441	221202	219523	106860	126244	118129	58678	52246	30799	26977	29546	48757	77053	172850	16167	8637	6316	6191	7076	7566	9259	4872	4931	4280	4885	5188	8073	8720	20321	103687	94485	50211	19902	47038	37085	140678	121551	107302	11380	48709	41424	29949	7498	34064	169573
trimmed_19101-0040_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465924	416122	368883	920024	2857712	1228991	577633	166850	134983	101661	123397	146438	253993	834756	530372	346189	325948	95952	144724	129614	38549	36147	24429	24967	23735	16794	35389	146833	9451	5232	3802	4544	6604	5129	5169	3242	3348	2668	2888	3183	5754	6107	18479	103710	80363	43187	16139	38870	25806	121832	134544	111445	7885	41334	41532	28819	6180	25814	119174
trimmed_19101-0041_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	535859	448499	523417	1391422	3664017	2035019	761192	219323	189053	126795	157263	165854	385805	1093574	669805	417013	335028	98360	144957	112561	29870	33313	20286	19256	27502	18209	43055	116508	8530	5208	4008	4661	6771	6302	7243	4028	4228	3706	4510	4516	7294	9262	22299	119583	114207	72967	23911	53739	40478	175972	157286	136695	10949	49316	49491	37870	8820	37760	210744
trimmed_19101-0042_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573300	463382	532269	1461838	4231833	2005979	839824	253880	206962	137935	174709	196287	434816	1201269	768584	507848	394483	118957	175435	133476	34957	39744	24445	21633	29026	19174	42274	137647	9771	6018	4580	5121	7390	7288	7924	4349	4784	4115	4819	4929	8488	10541	25179	137350	125653	77811	27314	61345	45469	200230	183917	159419	12427	58414	60879	45328	10336	40990	235239
trimmed_19101-0043_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	770399	806266	1062823	1068397	2976901	2078844	955696	312923	200445	171105	153309	164325	173033	368936	471024	201661	108145	81852	84407	120409	45514	48537	26108	26844	21326	30652	54793	63100	9144	5911	4701	4858	6117	6305	6855	3768	5078	3258	3717	3559	5151	7271	18208	92528	97795	74070	22489	49965	43761	163171	112369	106394	10889	46153	42154	34746	9196	41404	227854
trimmed_19101-0044_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550499	469643	448535	716085	2772854	1262468	943449	301716	179193	113340	119869	143801	135778	297744	371611	198597	115130	77392	92297	122841	36702	35743	21682	21997	17622	16521	33974	91401	7400	4537	3218	3587	4908	4483	4135	2649	3190	2306	2348	2740	5476	6676	14271	77923	67693	44316	15434	34840	24982	111656	101930	87406	7249	34514	36374	25873	6048	21847	126439
